coordinates;footprint;product_name;success;error;part;filename;acquisition_date;end_date;satellite;swath_mode;polarization;orbit_num;data_take;latitude;longitude;year;scene_type;geo_cluster
[[[-89.0941, 40.8258], [-88.1661, 40.9158], [-88.5234, 42.4621], [-89.4742, 42.3712], [-89.0941, 40.8258]]];;S1A_S4_RAW__0SHH_2023-05-04T23:49:15_2023-05-04T23:49:41_048391_05D20F;False;;PT1;s1a-s4-raw-s-hh-20230504t234915-20230504t234941-048391-05d20f.zarr;2023-05-04T23:49:15;2023-05-04T23:49:41;S1A;S4;hh;48391;05d20f;41.48014;-88.87038;2023;land;land_7
[[[-89.094, 40.8264], [-88.1661, 40.9165], [-88.5235, 42.4627], [-89.4741, 42.3719], [-89.094, 40.8264]]];;S1A_S4_RAW__0SHH_2023-08-20T23:49:21_2023-08-20T23:49:47_049966_0602D8;False;;PT1;s1a-s4-raw-s-hh-20230820t234921-20230820t234947-049966-0602d8.zarr;2023-08-20T23:49:21;2023-08-20T23:49:47;S1A;S4;hh;49966;0602d8;41.480779999999996;-88.87034;2023;land;land_10
[[[-89.094, 40.8261], [-88.166, 40.9162], [-88.5233, 42.4624], [-89.4741, 42.3716], [-89.094, 40.8261]]];;S1A_S4_RAW__0SHH_2024-09-07T23:49:18_2024-09-07T23:49:44_055566_06C821;False;;PT1;s1a-s4-raw-s-hh-20240907t234918-20240907t234944-055566-06c821.zarr;2024-09-07T23:49:18;2024-09-07T23:49:44;S1A;S4;hh;55566;06c821;41.48048;-88.87028000000001;2024;land;land_10
[[[-89.095, 40.8302], [-88.1669, 40.9203], [-88.5242, 42.4665], [-89.4751, 42.3757], [-89.095, 40.8302]]];;S1A_S4_RAW__0SHH_2025-03-30T23:49:12_2025-03-30T23:49:38_058541_073E7C;False;;PT1;s1a-s4-raw-s-hh-20250330t234912-20250330t234938-058541-073e7c.zarr;2025-03-30T23:49:12;2025-03-30T23:49:38;S1A;S4;hh;58541;073e7c;41.48458;-88.87124;2025;land;land_4
[[[-89.0941, 40.8258], [-88.1661, 40.9158], [-88.5234, 42.4621], [-89.4742, 42.3712], [-89.0941, 40.8258]]];;S1A_S4_RAW__0SHV_2023-05-04T23:49:15_2023-05-04T23:49:41_048391_05D20F;False;;PT1;s1a-s4-raw-s-hv-20230504t234915-20230504t234941-048391-05d20f.zarr;2023-05-04T23:49:15;2023-05-04T23:49:41;S1A;S4;hv;48391;05d20f;41.48014;-88.87038;2023;land;land_7
[[[-89.094, 40.8264], [-88.1661, 40.9165], [-88.5235, 42.4627], [-89.4741, 42.3719], [-89.094, 40.8264]]];;S1A_S4_RAW__0SHV_2023-08-20T23:49:21_2023-08-20T23:49:47_049966_0602D8;False;;PT1;s1a-s4-raw-s-hv-20230820t234921-20230820t234947-049966-0602d8.zarr;2023-08-20T23:49:21;2023-08-20T23:49:47;S1A;S4;hv;49966;0602d8;41.480779999999996;-88.87034;2023;land;land_10
[[[-89.094, 40.8261], [-88.166, 40.9162], [-88.5233, 42.4624], [-89.4741, 42.3716], [-89.094, 40.8261]]];;S1A_S4_RAW__0SHV_2024-09-07T23:49:18_2024-09-07T23:49:44_055566_06C821;False;;PT1;s1a-s4-raw-s-hv-20240907t234918-20240907t234944-055566-06c821.zarr;2024-09-07T23:49:18;2024-09-07T23:49:44;S1A;S4;hv;55566;06c821;41.48048;-88.87028000000001;2024;land;land_10
[[[-89.095, 40.8302], [-88.1669, 40.9203], [-88.5242, 42.4665], [-89.4751, 42.3757], [-89.095, 40.8302]]];;S1A_S4_RAW__0SHV_2025-03-30T23:49:12_2025-03-30T23:49:38_058541_073E7C;False;;PT1;s1a-s4-raw-s-hv-20250330t234912-20250330t234938-058541-073e7c.zarr;2025-03-30T23:49:12;2025-03-30T23:49:38;S1A;S4;hv;58541;073e7c;41.48458;-88.87124;2025;land;land_4
[[[-88.0178, 40.7533], [-87.6755, 42.2993], [-88.6239, 42.3772], [-88.9434, 40.8311], [-88.0178, 40.7533]]];;S1A_S6_RAW__0SVH_2024-01-17T11:55:27_2024-01-17T11:55:53_052146_064D9D;False;;PT1;s1a-s6-raw-s-vh-20240117t115527-20240117t115553-052146-064d9d.zarr;2024-01-17T11:55:27;2024-01-17T11:55:53;S1A;S6;vh;52146;064d9d;41.402840000000005;-88.25568;2024;land;land_9
[[[-88.021, 40.7523], [-87.6786, 42.2983], [-88.627, 42.3762], [-88.9465, 40.8301], [-88.021, 40.7523]]];;S1A_S6_RAW__0SVH_2024-10-07T11:55:28_2024-10-07T11:55:53_055996_06D920;False;;PT1;s1a-s6-raw-s-vh-20241007t115528-20241007t115553-055996-06d920.zarr;2024-10-07T11:55:28;2024-10-07T11:55:53;S1A;S6;vh;55996;06d920;41.40184;-88.25882;2024;land;land_12
[[[-88.0178, 40.7533], [-87.6755, 42.2993], [-88.6239, 42.3772], [-88.9434, 40.8311], [-88.0178, 40.7533]]];;S1A_S6_RAW__0SVV_2024-01-17T11:55:27_2024-01-17T11:55:53_052146_064D9D;False;;PT1;s1a-s6-raw-s-vv-20240117t115527-20240117t115553-052146-064d9d.zarr;2024-01-17T11:55:27;2024-01-17T11:55:53;S1A;S6;vv;52146;064d9d;41.402840000000005;-88.25568;2024;land;land_9
[[[-88.021, 40.7523], [-87.6786, 42.2983], [-88.627, 42.3762], [-88.9465, 40.8301], [-88.021, 40.7523]]];;S1A_S6_RAW__0SVV_2024-10-07T11:55:28_2024-10-07T11:55:53_055996_06D920;False;;PT1;s1a-s6-raw-s-vv-20241007t115528-20241007t115553-055996-06d920.zarr;2024-10-07T11:55:28;2024-10-07T11:55:53;S1A;S6;vv;55996;06d920;41.40184;-88.25882;2024;land;land_12
[[[-88.2846, 40.6066], [-87.7631, 42.4446], [-88.7113, 42.5552], [-89.2062, 40.7151], [-88.2846, 40.6066]]];;S1A_S1_RAW__0SHH_2023-10-23T12:11:50_2023-10-23T12:12:20_050892_06226D;False;;PT2;s1a-s1-raw-s-hh-20231023t121150-20231023t121220-050892-06226d.zarr;2023-10-23T12:11:50;2023-10-23T12:12:20;S1A;S1;hh;50892;06226d;41.38562;-88.44996;2023;land;land_8
[[[-88.2841, 40.6065], [-87.7627, 42.4445], [-88.7109, 42.5551], [-89.2057, 40.715], [-88.2841, 40.6065]]];;S1A_S1_RAW__0SHH_2024-11-22T12:11:45_2024-11-22T12:12:15_056667_06F3CD;False;;PT2;s1a-s1-raw-s-hh-20241122t121145-20241122t121215-056667-06f3cd.zarr;2024-11-22T12:11:45;2024-11-22T12:12:15;S1A;S1;hh;56667;06f3cd;41.38552;-88.44949999999999;2024;land;land_8
[[[-88.2846, 40.6066], [-87.7631, 42.4446], [-88.7113, 42.5552], [-89.2062, 40.7151], [-88.2846, 40.6066]]];;S1A_S1_RAW__0SHV_2023-10-23T12:11:50_2023-10-23T12:12:20_050892_06226D;False;;PT2;s1a-s1-raw-s-hv-20231023t121150-20231023t121220-050892-06226d.zarr;2023-10-23T12:11:50;2023-10-23T12:12:20;S1A;S1;hv;50892;06226d;41.38562;-88.44996;2023;land;land_8
[[[-88.2841, 40.6065], [-87.7627, 42.4445], [-88.7109, 42.5551], [-89.2057, 40.715], [-88.2841, 40.6065]]];;S1A_S1_RAW__0SHV_2024-11-22T12:11:45_2024-11-22T12:12:15_056667_06F3CD;False;;PT2;s1a-s1-raw-s-hv-20241122t121145-20241122t121215-056667-06f3cd.zarr;2024-11-22T12:11:45;2024-11-22T12:12:15;S1A;S1;hv;56667;06f3cd;41.38552;-88.44949999999999;2024;land;land_8
[[[-89.0932, 40.8273], [-88.1651, 40.9174], [-88.5224, 42.4636], [-89.4733, 42.3728], [-89.0932, 40.8273]]];;S1A_S4_RAW__0SHH_2023-03-17T23:49:13_2023-03-17T23:49:39_047691_05BA87;False;;PT2;s1a-s4-raw-s-hh-20230317t234913-20230317t234939-047691-05ba87.zarr;2023-03-17T23:49:13;2023-03-17T23:49:39;S1A;S4;hh;47691;05ba87;41.48168;-88.86944;2023;land;land_3
[[[-89.0919, 40.8245], [-88.1638, 40.9145], [-88.5211, 42.4608], [-89.4719, 42.3699], [-89.0919, 40.8245]]];;S1A_S4_RAW__0SHH_2024-08-14T23:49:17_2024-08-14T23:49:43_055216_06BAF7;False;;PT2;s1a-s4-raw-s-hh-20240814t234917-20240814t234943-055216-06baf7.zarr;2024-08-14T23:49:17;2024-08-14T23:49:43;S1A;S4;hh;55216;06baf7;41.478840000000005;-88.86812;2024;land;land_5
[[[-89.0923, 40.8275], [-88.1642, 40.9175], [-88.5214, 42.4637], [-89.4723, 42.3729], [-89.0923, 40.8275]]];;S1A_S4_RAW__0SHH_2024-12-12T23:49:17_2024-12-12T23:49:42_056966_06FF8C;False;;PT2;s1a-s4-raw-s-hh-20241212t234917-20241212t234942-056966-06ff8c.zarr;2024-12-12T23:49:17;2024-12-12T23:49:42;S1A;S4;hh;56966;06ff8c;41.48182;-88.8685;2024;land;land_3
[[[-89.0932, 40.8273], [-88.1651, 40.9174], [-88.5224, 42.4636], [-89.4733, 42.3728], [-89.0932, 40.8273]]];;S1A_S4_RAW__0SHV_2023-03-17T23:49:13_2023-03-17T23:49:39_047691_05BA87;False;;PT2;s1a-s4-raw-s-hv-20230317t234913-20230317t234939-047691-05ba87.zarr;2023-03-17T23:49:13;2023-03-17T23:49:39;S1A;S4;hv;47691;05ba87;41.48168;-88.86944;2023;land;land_3
[[[-89.0919, 40.8245], [-88.1638, 40.9145], [-88.5211, 42.4608], [-89.4719, 42.3699], [-89.0919, 40.8245]]];;S1A_S4_RAW__0SHV_2024-08-14T23:49:17_2024-08-14T23:49:43_055216_06BAF7;False;;PT2;s1a-s4-raw-s-hv-20240814t234917-20240814t234943-055216-06baf7.zarr;2024-08-14T23:49:17;2024-08-14T23:49:43;S1A;S4;hv;55216;06baf7;41.478840000000005;-88.86812;2024;land;land_5
[[[-89.0923, 40.8275], [-88.1642, 40.9175], [-88.5214, 42.4637], [-89.4723, 42.3729], [-89.0923, 40.8275]]];;S1A_S4_RAW__0SHV_2024-12-12T23:49:17_2024-12-12T23:49:42_056966_06FF8C;False;;PT2;s1a-s4-raw-s-hv-20241212t234917-20241212t234942-056966-06ff8c.zarr;2024-12-12T23:49:17;2024-12-12T23:49:42;S1A;S4;hv;56966;06ff8c;41.48182;-88.8685;2024;land;land_3
[[[-88.0214, 40.7527], [-87.6792, 42.2987], [-88.6275, 42.3766], [-88.9469, 40.8304], [-88.0214, 40.7527]]];;S1A_S6_RAW__0SVH_2023-12-12T11:55:30_2023-12-12T11:55:55_051621_063BA8;False;;PT2;s1a-s6-raw-s-vh-20231212t115530-20231212t115555-051621-063ba8.zarr;2023-12-12T11:55:30;2023-12-12T11:55:55;S1A;S6;vh;51621;063ba8;41.40222;-88.25928;2023;land;land_12
[[[-88.0214, 40.7527], [-87.6792, 42.2987], [-88.6275, 42.3766], [-88.9469, 40.8304], [-88.0214, 40.7527]]];;S1A_S6_RAW__0SVV_2023-12-12T11:55:30_2023-12-12T11:55:55_051621_063BA8;False;;PT2;s1a-s6-raw-s-vv-20231212t115530-20231212t115555-051621-063ba8.zarr;2023-12-12T11:55:30;2023-12-12T11:55:55;S1A;S6;vv;51621;063ba8;41.40222;-88.25928;2023;land;land_12
[[[-88.2854, 40.6067], [-87.764, 42.4446], [-88.7123, 42.5553], [-89.2071, 40.7152], [-88.2854, 40.6067]]];;S1A_S1_RAW__0SHH_2023-12-10T12:11:48_2023-12-10T12:12:19_051592_063A96;False;;PT4;s1a-s1-raw-s-hh-20231210t121148-20231210t121219-051592-063a96.zarr;2023-12-10T12:11:48;2023-12-10T12:12:19;S1A;S1;hh;51592;063a96;41.3857;-88.45084;2023;land;land_8
[[[-88.2847, 40.6067], [-87.7633, 42.4447], [-88.7115, 42.5553], [-89.2063, 40.7152], [-88.2847, 40.6067]]];;S1A_S1_RAW__0SHH_2025-02-14T12:11:38_2025-02-14T12:12:09_057892_072461;False;;PT4;s1a-s1-raw-s-hh-20250214t121138-20250214t121209-057892-072461.zarr;2025-02-14T12:11:38;2025-02-14T12:12:09;S1A;S1;hh;57892;072461;41.38572;-88.45009999999999;2025;land;land_8
[[[-88.2854, 40.6067], [-87.764, 42.4446], [-88.7123, 42.5553], [-89.2071, 40.7152], [-88.2854, 40.6067]]];;S1A_S1_RAW__0SHV_2023-12-10T12:11:48_2023-12-10T12:12:19_051592_063A96;False;;PT4;s1a-s1-raw-s-hv-20231210t121148-20231210t121219-051592-063a96.zarr;2023-12-10T12:11:48;2023-12-10T12:12:19;S1A;S1;hv;51592;063a96;41.3857;-88.45084;2023;land;land_8
[[[-88.2847, 40.6067], [-87.7633, 42.4447], [-88.7115, 42.5553], [-89.2063, 40.7152], [-88.2847, 40.6067]]];;S1A_S1_RAW__0SHV_2025-02-14T12:11:38_2025-02-14T12:12:09_057892_072461;False;;PT4;s1a-s1-raw-s-hv-20250214t121138-20250214t121209-057892-072461.zarr;2025-02-14T12:11:38;2025-02-14T12:12:09;S1A;S1;hv;57892;072461;41.38572;-88.45009999999999;2025;land;land_8
[[[-89.0937, 40.8269], [-88.1657, 40.9169], [-88.523, 42.4632], [-89.4739, 42.3723], [-89.0937, 40.8269]]];;S1A_S4_RAW__0SHH_2023-06-09T23:49:17_2023-06-09T23:49:42_048916_05E1E7;False;;PT4;s1a-s4-raw-s-hh-20230609t234917-20230609t234942-048916-05e1e7.zarr;2023-06-09T23:49:17;2023-06-09T23:49:42;S1A;S4;hh;48916;05e1e7;41.48124;-88.87;2023;land;land_1
[[[-89.0937, 40.8267], [-88.1657, 40.9168], [-88.523, 42.463], [-89.4738, 42.3722], [-89.0937, 40.8267]]];;S1A_S4_RAW__0SHH_2024-02-04T23:49:19_2024-02-04T23:49:44_052416_0656C0;False;;PT4;s1a-s4-raw-s-hh-20240204t234919-20240204t234944-052416-0656c0.zarr;2024-02-04T23:49:19;2024-02-04T23:49:44;S1A;S4;hh;52416;0656c0;41.481080000000006;-88.86998;2024;land;land_1
[[[-89.0945, 40.8264], [-88.1665, 40.9165], [-88.5238, 42.4627], [-89.4746, 42.3718], [-89.0945, 40.8264]]];;S1A_S4_RAW__0SHH_2024-02-16T23:49:19_2024-02-16T23:49:44_052591_065CAA;False;;PT4;s1a-s4-raw-s-hh-20240216t234919-20240216t234944-052591-065caa.zarr;2024-02-16T23:49:19;2024-02-16T23:49:44;S1A;S4;hh;52591;065caa;41.48076;-88.87078;2024;land;land_10
[[[-89.0951, 40.8271], [-88.1671, 40.9172], [-88.5244, 42.4634], [-89.4752, 42.3725], [-89.0951, 40.8271]]];;S1A_S4_RAW__0SHH_2024-04-04T23:49:19_2024-04-04T23:49:45_053291_0675C0;False;;PT4;s1a-s4-raw-s-hh-20240404t234919-20240404t234945-053291-0675c0.zarr;2024-04-04T23:49:19;2024-04-04T23:49:45;S1A;S4;hh;53291;0675c0;41.481460000000006;-88.87138;2024;land;land_11
[[[-89.0937, 40.8269], [-88.1657, 40.9169], [-88.523, 42.4632], [-89.4739, 42.3723], [-89.0937, 40.8269]]];;S1A_S4_RAW__0SHV_2023-06-09T23:49:17_2023-06-09T23:49:42_048916_05E1E7;False;;PT4;s1a-s4-raw-s-hv-20230609t234917-20230609t234942-048916-05e1e7.zarr;2023-06-09T23:49:17;2023-06-09T23:49:42;S1A;S4;hv;48916;05e1e7;41.48124;-88.87;2023;land;land_1
[[[-89.0937, 40.8267], [-88.1657, 40.9168], [-88.523, 42.463], [-89.4738, 42.3722], [-89.0937, 40.8267]]];;S1A_S4_RAW__0SHV_2024-02-04T23:49:19_2024-02-04T23:49:44_052416_0656C0;False;;PT4;s1a-s4-raw-s-hv-20240204t234919-20240204t234944-052416-0656c0.zarr;2024-02-04T23:49:19;2024-02-04T23:49:44;S1A;S4;hv;52416;0656c0;41.481080000000006;-88.86998;2024;land;land_1
[[[-89.0945, 40.8264], [-88.1665, 40.9165], [-88.5238, 42.4627], [-89.4746, 42.3718], [-89.0945, 40.8264]]];;S1A_S4_RAW__0SHV_2024-02-16T23:49:19_2024-02-16T23:49:44_052591_065CAA;False;;PT4;s1a-s4-raw-s-hv-20240216t234919-20240216t234944-052591-065caa.zarr;2024-02-16T23:49:19;2024-02-16T23:49:44;S1A;S4;hv;52591;065caa;41.48076;-88.87078;2024;land;land_10
[[[-89.0951, 40.8271], [-88.1671, 40.9172], [-88.5244, 42.4634], [-89.4752, 42.3725], [-89.0951, 40.8271]]];;S1A_S4_RAW__0SHV_2024-04-04T23:49:19_2024-04-04T23:49:45_053291_0675C0;False;;PT4;s1a-s4-raw-s-hv-20240404t234919-20240404t234945-053291-0675c0.zarr;2024-04-04T23:49:19;2024-04-04T23:49:45;S1A;S4;hv;53291;0675c0;41.481460000000006;-88.87138;2024;land;land_11
[[[46.0918, -12.8701], [46.8097, -12.7595], [46.593, -11.8203], [45.8777, -11.93], [46.0918, -12.8701]]];;S1A_S1_RAW__0SHH_2024-01-30T15:12:39_2024-01-30T15:12:54_052337_06541B;False;;PT1;s1a-s1-raw-s-hh-20240130t151239-20240130t151254-052337-06541b.zarr;2024-01-30T15:12:39;2024-01-30T15:12:54;S1A;S1;hh;52337;06541b;-12.45;46.2928;2024;sea;sea_8
[[[46.0902, -12.8699], [46.8082, -12.7593], [46.5915, -11.8201], [45.8762, -11.9298], [46.0902, -12.8699]]];;S1A_S1_RAW__0SHH_2024-05-17T15:12:40_2024-05-17T15:12:55_053912_068D91;False;;PT1;s1a-s1-raw-s-hh-20240517t151240-20240517t151255-053912-068d91.zarr;2024-05-17T15:12:40;2024-05-17T15:12:55;S1A;S1;hh;53912;068d91;-12.4498;46.29126;2024;sea;sea_8
[[[46.0899, -12.8694], [46.8078, -12.7588], [46.591, -11.8196], [45.8758, -11.9293], [46.0899, -12.8694]]];;S1A_S1_RAW__0SHH_2024-10-08T15:12:39_2024-10-08T15:12:55_056012_06D9C9;False;;PT1;s1a-s1-raw-s-hh-20241008t151239-20241008t151255-056012-06d9c9.zarr;2024-10-08T15:12:39;2024-10-08T15:12:55;S1A;S1;hh;56012;06d9c9;-12.4493;46.29088;2024;sea;sea_8
[[[46.0925, -12.8699], [46.8104, -12.7593], [46.5937, -11.8201], [45.8784, -11.9298], [46.0925, -12.8699]]];;S1A_S1_RAW__0SHH_2024-11-25T15:12:37_2024-11-25T15:12:53_056712_06F59C;False;;PT1;s1a-s1-raw-s-hh-20241125t151237-20241125t151253-056712-06f59c.zarr;2024-11-25T15:12:37;2024-11-25T15:12:53;S1A;S1;hh;56712;06f59c;-12.4498;46.2935;2024;sea;sea_8
[[[46.0924, -12.8698], [46.8104, -12.7593], [46.5936, -11.8201], [45.8784, -11.9297], [46.0924, -12.8698]]];;S1A_S1_RAW__0SHH_2024-12-19T15:12:35_2024-12-19T15:12:51_057062_07037D;False;;PT1;s1a-s1-raw-s-hh-20241219t151235-20241219t151251-057062-07037d.zarr;2024-12-19T15:12:35;2024-12-19T15:12:51;S1A;S1;hh;57062;07037d;-12.44974;46.29344;2024;sea;sea_8
[[[-92.653, -8.7808], [-91.9452, -8.6739], [-92.3837, -6.6993], [-93.088, -6.8047], [-92.653, -8.7808]]];;S1A_S1_RAW__0SHH_2025-01-24T00:24:34_2025-01-24T00:25:06_057578_0717E3;False;;PT1;s1a-s1-raw-s-hh-20250124t002434-20250124t002506-057578-0717e3.zarr;2025-01-24T00:24:34;2025-01-24T00:25:06;S1A;S1;hh;57578;0717e3;-7.9479;-92.54458;2025;sea;sea_11
[[[46.0918, -12.8701], [46.8097, -12.7595], [46.593, -11.8203], [45.8777, -11.93], [46.0918, -12.8701]]];;S1A_S1_RAW__0SHV_2024-01-30T15:12:39_2024-01-30T15:12:54_052337_06541B;False;;PT1;s1a-s1-raw-s-hv-20240130t151239-20240130t151254-052337-06541b.zarr;2024-01-30T15:12:39;2024-01-30T15:12:54;S1A;S1;hv;52337;06541b;-12.45;46.2928;2024;sea;sea_8
[[[46.0902, -12.8699], [46.8082, -12.7593], [46.5915, -11.8201], [45.8762, -11.9298], [46.0902, -12.8699]]];;S1A_S1_RAW__0SHV_2024-05-17T15:12:40_2024-05-17T15:12:55_053912_068D91;False;;PT1;s1a-s1-raw-s-hv-20240517t151240-20240517t151255-053912-068d91.zarr;2024-05-17T15:12:40;2024-05-17T15:12:55;S1A;S1;hv;53912;068d91;-12.4498;46.29126;2024;sea;sea_8
[[[46.0899, -12.8694], [46.8078, -12.7588], [46.591, -11.8196], [45.8758, -11.9293], [46.0899, -12.8694]]];;S1A_S1_RAW__0SHV_2024-10-08T15:12:39_2024-10-08T15:12:55_056012_06D9C9;False;;PT1;s1a-s1-raw-s-hv-20241008t151239-20241008t151255-056012-06d9c9.zarr;2024-10-08T15:12:39;2024-10-08T15:12:55;S1A;S1;hv;56012;06d9c9;-12.4493;46.29088;2024;sea;sea_8
[[[46.0925, -12.8699], [46.8104, -12.7593], [46.5937, -11.8201], [45.8784, -11.9298], [46.0925, -12.8699]]];;S1A_S1_RAW__0SHV_2024-11-25T15:12:37_2024-11-25T15:12:53_056712_06F59C;False;;PT1;s1a-s1-raw-s-hv-20241125t151237-20241125t151253-056712-06f59c.zarr;2024-11-25T15:12:37;2024-11-25T15:12:53;S1A;S1;hv;56712;06f59c;-12.4498;46.2935;2024;sea;sea_8
[[[46.0924, -12.8698], [46.8104, -12.7593], [46.5936, -11.8201], [45.8784, -11.9297], [46.0924, -12.8698]]];;S1A_S1_RAW__0SHV_2024-12-19T15:12:35_2024-12-19T15:12:51_057062_07037D;False;;PT1;s1a-s1-raw-s-hv-20241219t151235-20241219t151251-057062-07037d.zarr;2024-12-19T15:12:35;2024-12-19T15:12:51;S1A;S1;hv;57062;07037d;-12.44974;46.29344;2024;sea;sea_8
[[[-92.653, -8.7808], [-91.9452, -8.6739], [-92.3837, -6.6993], [-93.088, -6.8047], [-92.653, -8.7808]]];;S1A_S1_RAW__0SHV_2025-01-24T00:24:34_2025-01-24T00:25:06_057578_0717E3;False;;PT1;s1a-s1-raw-s-hv-20250124t002434-20250124t002506-057578-0717e3.zarr;2025-01-24T00:24:34;2025-01-24T00:25:06;S1A;S1;hv;57578;0717e3;-7.9479;-92.54458;2025;sea;sea_11
[[[-95.381, 28.8152], [-95.0174, 30.3598], [-95.8275, 30.4601], [-96.1786, 28.9147], [-95.381, 28.8152]]];;S1A_S1_RAW__0SVH_2023-03-31T12:31:29_2023-03-31T12:31:54_047888_05C119;False;;PT1;s1a-s1-raw-s-vh-20230331t123129-20230331t123154-047888-05c119.zarr;2023-03-31T12:31:29;2023-03-31T12:31:54;S1A;S1;vh;47888;05c119;29.473000000000003;-95.5571;2023;sea;sea_5
